symbol,company,anex,acqName,date,pid,tkdAcqm,buyValue,sellValue,buyQuantity,sellquantity,secType,secAcq,did,tdpTransactionType,tdpDerivativeContractType,xbrl,personCategory,befAcqSharesNo,befAcqSharesPer,secVal,securitiesTypePost,afterAcqSharesNo,afterAcqSharesPer,acqfromDt,acqtoDt,intimDt,acqMode,derivativeType,exchange,remarks
BAJAJHFL,Bajaj Housing Finance Limited,7(2),Bajaj Finance Limited,17-Sep-2024 18:57,1171039,,0,0,0,0,Equity Shares,428571428,519249,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1171039_1244720_17092024065750_WEB.xml,Promoters,7819575273,99.99,29999999960,Equity Shares,7391003845,88.75,13-Sep-2024,13-Sep-2024,16-Sep-2024,Others,-,NA,-
EDELWEISS,Edelweiss Financial Services Limited,7(2),Edelweiss Employees Welfare Trust,16-Sep-2024 18:44,1170913,,0,0,0,0,Equity Shares,2750000,518982,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1170913_1244101_16092024064423_WEB.xml,Employees/Designated Employees,22716270,2.41,341000000,Equity Shares,19966270,2.12,16-Sep-2024,16-Sep-2024,16-Sep-2024,Market Sale,-,NSE,-
PATANJALI,Patanjali Foods Limited,7(2),Patanjali Ayurved Limited,16-Sep-2024 15:19,1170859,,0,0,0,0,Equity Shares,9792880,518901,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1170859_1243808_16092024031935_WEB.xml,Promoter Group,117160360,32.37,18156814288,Equity Shares,107367480,29.66,13-Sep-2024,13-Sep-2024,16-Sep-2024,Others,-,NSE,-
EDELWEISS,Edelweiss Financial Services Limited,7(2),Edelweiss Employees Welfare Trust,13-Sep-2024 22:07,1170804,,0,0,0,0,Equity Shares,9879000,518736,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1170804_1243337_13092024100750_WEB.xml,Employees/Designated Employees,37595270,3.98,1224996000,Equity Shares,27716270,2.94,13-Sep-2024,13-Sep-2024,13-Sep-2024,Market Sale,-,NSE,-
EDELWEISS,Edelweiss Financial Services Limited,7(2),Edelweiss Employees Welfare Trust,13-Sep-2024 22:07,1170804,,0,0,0,0,Equity Shares,5000000,518737,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1170804_1243337_13092024100750_WEB.xml,Employees/Designated Employees,27716270,2.94,570613500,Equity Shares,22716270,2.41,13-Sep-2024,13-Sep-2024,13-Sep-2024,Market Sale,-,BSE,-
PRAXIS,Praxis Home Retail Limited,7(2),Future Hospitality Private Limited,11-Sep-2024 17:58,1170573,,0,0,0,0,Equity Shares,4513319,518260,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1170573_1241947_11092024055849_WEB.xml,Promoter Group,4513319,3.6,85346862,Equity Shares,Nil,0,10-Sep-2024,10-Sep-2024,10-Sep-2024,Market Sale,-,NSE,-
MANAKCOAT,Manaksia Coated Metals & Industries Limited,7(2),SUSHIL KUMAR AGRAWAL,11-Sep-2024 16:33,1170562,,0,0,0,0,Equity Shares,7543302,518225,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1170562_1241818_11092024043336_WEB.xml,Promoter Group,23280843,31.35,0,Equity Shares,7543302,10.16,09-Sep-2024,09-Sep-2024,10-Sep-2024,Gift,-,NA,-
MANAKCOAT,Manaksia Coated Metals & Industries Limited,7(2),MANJU AGRAWAL,11-Sep-2024 16:33,1170562,,0,0,0,0,Equity Shares,5263295,518227,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1170562_1241818_11092024043336_WEB.xml,Promoter Group,5263295,7.09,0,Equity Shares,5263295,7.09,09-Sep-2024,09-Sep-2024,10-Sep-2024,Gift,-,NA,-
NESCO,Nesco Limited,7(2),Mrs. Sudhaben Sumant Patel,11-Sep-2024 15:58,1170551,,0,0,0,0,Equity Shares,8867335,518146,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1170551_1241774_11092024035839_WEB.xml,Promoters,4574720,6.49,0,Equity Shares,13442055,19.07,10-Sep-2024,10-Sep-2024,11-Sep-2024,Others,-,NA,-
SHAH,Shah Metacorp Limited,7(2),Mona Viral Shah,10-Sep-2024 23:43,1170515,,0,0,0,0,Warrants,44500000,518108,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1170515_1241561_10092024114321_WEB.xml,Director,59206084,7.2,178890000,Warrants,103706084,7.2,02-Aug-2024,10-Sep-2024,10-Sep-2024,Others,-,MSEI,-
GICRE,General Insurance Corporation of India,7(2),The President of India acting through and represented by the Ministry of Finance Government of India,09-Sep-2024 23:13,1170431,,0,0,0,0,Equity Shares,59432385,517887,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1170431_1241026_09092024111340_WEB.xml,Promoters,1505000000,85.78,23482457902,Equity Shares,1445567615,82.4,04-Sep-2024,05-Sep-2024,09-Sep-2024,Market Sale,-,NSE,-
SAPPHIRE,Sapphire Foods India Limited,7(2),Sanjay Purohit,09-Sep-2024 18:41,1170413,,0,0,0,0,Equity Shares,2591112,517845,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1170413_1240931_09092024064143_WEB.xml,Director,647778,1.02,0,Equity Shares,3238890,1.02,05-Sep-2024,05-Sep-2024,09-Sep-2024,Others,-,NA,-
AXITA,Axita Cotton Limited,7(2),Kushal Nitinbhai Patel,09-Sep-2024 13:55,1170355,,0,0,0,0,Equity Shares,32978593,517747,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1170355_1240611_09092024015512_WEB.xml,Promoters,60162965,23.06,752640967,Equity Shares,27184372,10.42,04-Sep-2024,06-Sep-2024,06-Sep-2024,Market Sale,-,"BSE,NSE",-
HMAAGRO,Hma Agro Industries Limited,7(2),MOHAMMAD ASHRAF QURESHI,07-Sep-2024 17:56,1170333,,0,0,0,0,Equity Shares,27150471,517704,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1170333_1240350_07092024055645_WEB.xml,Promoters,67644530,13.51,0,Equity Shares,94795001,18.93,06-Sep-2024,06-Sep-2024,07-Sep-2024,Gift,-,NA,-
HMAAGRO,Hma Agro Industries Limited,7(2),MOHAMMAD MEHMOOD QURESHI,07-Sep-2024 17:56,1170333,,0,0,0,0,Equity Shares,27150471,517705,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1170333_1240350_07092024055645_WEB.xml,Promoters,67644530,13.51,0,Equity Shares,94795001,18.93,06-Sep-2024,06-Sep-2024,07-Sep-2024,Gift,-,NA,-
HMAAGRO,Hma Agro Industries Limited,7(2),ZULFIQAR AHMAD QURASHI,07-Sep-2024 17:56,1170333,,0,0,0,0,Equity Shares,27150471,517703,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1170333_1240350_07092024055645_WEB.xml,Promoters,67644530,13.51,0,Equity Shares,94795001,18.93,06-Sep-2024,06-Sep-2024,07-Sep-2024,Gift,-,NA,-
HMAAGRO,Hma Agro Industries Limited,7(2),WAJID AHMED,07-Sep-2024 17:56,1170333,,0,0,0,0,Equity Shares,81451413,517702,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1170333_1240350_07092024055645_WEB.xml,Promoters,131528390,26.26,0,Equity Shares,50076977,10,06-Sep-2024,06-Sep-2024,07-Sep-2024,Gift,-,NA,-
JUBLINDS,Jubilant Industries Limited,7(2),Hari Shanker Bhartia Family Trust,07-Sep-2024 16:38,1170329,,0,0,0,0,Equity Shares,5318439,517693,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1170329_1240313_07092024043842_WEB.xml,Promoter Group,Nil,0,53184390,Equity Shares,5318439,35.3,05-Sep-2024,05-Sep-2024,06-Sep-2024,Scheme of Amalgamation/Merger/Demerger/Arrangement,-,NA,-
JUBLINDS,Jubilant Industries Limited,7(2),Shyam Sunder Bhartia Family Trust,07-Sep-2024 16:38,1170329,,0,0,0,0,Equity Shares,5233903,517692,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1170329_1240313_07092024043842_WEB.xml,Promoter Group,Nil,0,52339030,Equity Shares,5233903,34.74,05-Sep-2024,05-Sep-2024,06-Sep-2024,Scheme of Amalgamation/Merger/Demerger/Arrangement,-,NA,-
MFSL,Max Financial Services Limited,7(2),MAX VENTURES INVESTMENT HOLDINGS PRIVATE LIMITED,06-Sep-2024 12:28,1170189,,0,0,0,0,Equity Shares,11000000,517441,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1170189_1239339_06092024122822_WEB.xml,Promoters,22095923,6.4,12181018300,Equity Shares,11095923,3.22,05-Sep-2024,05-Sep-2024,05-Sep-2024,Market Sale,-,NSE,-
CENTEXT,Century Extrusions Limited,7(2),Paramsukh Properties Private Limited,06-Sep-2024 12:26,1170187,,0,0,0,0,Equity Shares,7070125,517438,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1170187_1239331_06092024122609_WEB.xml,Promoters,4341201,5.43,0,Equity Shares,11411326,14.27,05-Sep-2024,05-Sep-2024,05-Sep-2024,Off Market,-,NA,-
PENINLAND,Peninsula Land Limited,7(2),Miranda Tools Private Limited,05-Sep-2024 20:20,1170161,,0,0,0,0,Equity Shares,15300000,517325,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1170161_1239125_05092024082036_WEB.xml,Promoter Group,14500000,4.7,214200000,Equity Shares,29800000,4.72,04-Sep-2024,04-Sep-2024,05-Sep-2024,Conversion of security,-,NA,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),Tata Sons Private Limited,02-Sep-2024 19:37,1169832,,0,0,0,0,Equity Shares,13297136,516584,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169832_1236577_02092024073716_WEB.xml,Promoters,270557128,28.39,10877057248,Equity Shares,283854264,28.69,27-Aug-2024,27-Aug-2024,29-Aug-2024,Others,-,NA,-
ZEEMEDIA,Zee Media Corporation Limited,7(2),Anvivud Innovations LLP,02-Sep-2024 19:23,1169831,,0,0,0,0,Equity Shares,3100000,516578,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169831_1236558_02092024072311_WEB.xml,Other,2197375,0,40297210,Equity Shares,5297375,0.01,27-Aug-2024,27-Aug-2024,29-Aug-2024,Market Purchase,-,NSE,-
MANAKALUCO,Manaksia Aluminium Company Limited,7(2),SHAILAJA AGRAWAL,02-Sep-2024 16:19,1169779,,0,0,0,0,Equity Shares,3914995,516452,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169779_1236227_02092024041956_WEB.xml,Promoter Group,3914995,5.97,0,Equity Shares,Nil,0,30-Aug-2024,30-Aug-2024,02-Sep-2024,Gift,-,NA,-
MANAKALUCO,Manaksia Aluminium Company Limited,7(2),SUSHIL KUMAR AGRAWAL,02-Sep-2024 16:19,1169779,,0,0,0,0,Equity Shares,3683807,516451,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169779_1236227_02092024041956_WEB.xml,Promoter Group,3683807,5.62,0,Equity Shares,Nil,0,30-Aug-2024,30-Aug-2024,02-Sep-2024,Gift,-,NA,-
MANAKALUCO,Manaksia Aluminium Company Limited,7(2),ANIRUDHA AGRAWAL,02-Sep-2024 16:19,1169779,,0,0,0,0,Equity Shares,7598802,516450,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169779_1236227_02092024041956_WEB.xml,Promoter Group,9524690,14.53,0,Equity Shares,17123492,26.13,30-Aug-2024,30-Aug-2024,02-Sep-2024,Gift,-,NA,-
HLVLTD,HLV LIMITED,7(2),Rockfort Estate Developers Private Limited,02-Sep-2024 11:51,1169744,,0,0,0,0,Equity Shares,11900000,516377,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169744_1236027_02092024115147_WEB.xml,Promoter Group,56515308,8.57,256445000,Equity Shares,44615308,6.77,30-Aug-2024,30-Aug-2024,31-Aug-2024,Off Market,-,NA,-
VIPULLTD,Vipul Limited,7(2),PUNIT BERIWALA,30-Aug-2024 16:11,1169638,,0,0,0,0,Equity Shares,4200000,516136,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169638_1234902_30082024041125_WEB.xml,Promoters,25238866,17.91,4200000,Equity Shares,21038866,14.93,27-Aug-2024,27-Aug-2024,30-Aug-2024,Market Sale,-,NSE,-
VIPULLTD,Vipul Limited,7(2),PUNIT BERIWALA,30-Aug-2024 16:11,1169638,,0,0,0,0,Equity Shares,4600300,516137,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169638_1234902_30082024041125_WEB.xml,Promoters,21038866,14.93,4600300,Equity Shares,16438566,11.66,27-Aug-2024,27-Aug-2024,30-Aug-2024,Market Sale,-,NSE,-
WELSPUNLIV,Welspun Living Limited,7(2),Aryabhat Vyapar Private Limited,30-Aug-2024 00:00,1169595,,0,0,0,0,Equity Shares,3918294,516058,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169595_1234628_30082024120039_WEB.xml,Promoter Group,5362044,0.56,812523305,Equity Shares,1443750,0.15,29-Aug-2024,29-Aug-2024,29-Aug-2024,Others,-,NSE,-
WELSPUNLIV,Welspun Living Limited,7(2),"Balkrishan Goenka, Trustee of Welspun Group Master Trust",30-Aug-2024 00:00,1169595,,0,0,0,0,Equity Shares,38081706,516057,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169595_1234628_30082024120039_WEB.xml,Promoters,668549965,69.7,7814746888,Equity Shares,630468259,65.73,29-Aug-2024,29-Aug-2024,29-Aug-2024,Others,-,NSE,-
TPHQ,Teamo Productions HQ Limited,7(2),Vrindaa Advanced Materials Limited,29-Aug-2024 18:35,1169569,,0,0,0,0,Equity Shares,12267334,515997,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169569_1234409_29082024063553_WEB.xml,Promoters,245576486,24.17,19627734,Equity Shares,233309152,22.96,23-Aug-2024,23-Aug-2024,27-Aug-2024,Market Sale,-,NSE,-
TPHQ,Teamo Productions HQ Limited,7(2),Vrindaa Advanced Materials Limited,29-Aug-2024 18:35,1169569,,0,0,0,0,Equity Shares,4552068,515996,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169569_1234409_29082024063553_WEB.xml,Promoters,250128554,24.61,7328829,Equity Shares,245576486,24.17,23-Aug-2024,23-Aug-2024,27-Aug-2024,Market Sale,-,BSE,-
KEEPLEARN,DSJ Keep Learning Limited,7(2),Pranav Padode,29-Aug-2024 13:02,1169513,,0,0,0,0,Equity Shares,3477170,515896,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169513_1234047_29082024010239_WEB.xml,Promoters,484945,0.31,3477170,Equity Shares,3962115,2.54,24-Aug-2024,24-Aug-2024,27-Aug-2024,Gift,-,NA,-
KEEPLEARN,DSJ Keep Learning Limited,7(2),Laxmi Padode,29-Aug-2024 13:02,1169513,,0,0,0,0,Equity Shares,3477170,515895,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169513_1234047_29082024010239_WEB.xml,Promoters,3477170,2.23,3477170,Equity Shares,Nil,0,24-Aug-2024,24-Aug-2024,27-Aug-2024,Gift,-,NA,-
KEEPLEARN,DSJ Keep Learning Limited,7(2),Laxmi Vijaysingh Padode,29-Aug-2024 13:02,1169513,,0,0,0,0,Equity Shares,3477170,515897,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169513_1234047_29082024010239_WEB.xml,Promoters,3477170,2.23,3477170,Equity Shares,Nil,0,24-Aug-2024,24-Aug-2024,27-Aug-2024,Gift,-,NA,-
ADFFOODS,ADF Foods Limited,7(2),Bimal R. Thakkar,29-Aug-2024 12:31,1169507,,0,0,0,0,Equity Shares,2976230,515883,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169507_1234017_29082024123142_WEB.xml,Promoters,11394620,10.37,0,Equity Shares,14370850,13.08,26-Aug-2024,26-Aug-2024,28-Aug-2024,Inter-se-Transfer,-,NA,-
ADFFOODS,ADF Foods Limited,7(2),"Bimal R. Thakkar HUF (Bimal Thakkar, Karta)",29-Aug-2024 12:31,1169507,,0,0,0,0,Equity Shares,2976230,515882,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169507_1234017_29082024123142_WEB.xml,Promoters,2976230,2.71,0,Equity Shares,Nil,0,26-Aug-2024,26-Aug-2024,28-Aug-2024,Inter-se-Transfer,-,NA,-
WELSPUNLIV,Welspun Living Limited,7(2),"Balkrishan Goenka, Trustee of Welspun Group Master Trust",27-Aug-2024 19:41,1169397,,0,0,0,0,Equity Shares,7727451,515571,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169397_1233017_27082024074113_WEB.xml,Promoters,676277416,69.59,1700039220,Equity Shares,668549965,69.7,23-Aug-2024,23-Aug-2024,27-Aug-2024,Others,-,NSE,-
PIDILITIND,Pidilite Industries Limited,7(2),Mala M. Parekh,27-Aug-2024 17:19,1169359,,0,0,0,0,Equity Shares,4742000,515485,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169359_1232810_27082024051928_WEB.xml,Promoters,10055600,1.98,0,Equity Shares,5313600,1.04,23-Aug-2024,23-Aug-2024,26-Aug-2024,Gift,-,NA,-
PIDILITIND,Pidilite Industries Limited,7(2),Madhukar B. Parekh,27-Aug-2024 17:19,1169359,,0,0,0,0,Equity Shares,4742000,515484,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169359_1232810_27082024051928_WEB.xml,Promoters,51551286,10.14,0,Equity Shares,56293286,11.07,23-Aug-2024,23-Aug-2024,26-Aug-2024,Gift,-,NA,-
RAMASTEEL,Rama Steel Tubes Limited,7(2),Naresh Kumar Bansal,27-Aug-2024 16:25,1169342,,0,0,0,0,Equity Shares,60000000,515421,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169342_1232730_27082024042552_WEB.xml,Promoters,459740475,29.58,600240097,Equity Shares,399740475,25.72,26-Aug-2024,26-Aug-2024,27-Aug-2024,Market Sale,-,NSE,-
RAMASTEEL,Rama Steel Tubes Limited,7(2),Richi Bansal,27-Aug-2024 16:25,1169342,,0,0,0,0,Equity Shares,70000000,515422,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169342_1232730_27082024042552_WEB.xml,Promoters,117696525,7.57,702220529,Equity Shares,47696525,3.07,26-Aug-2024,26-Aug-2024,27-Aug-2024,Market Sale,-,NSE,-
MAGNUM,Magnum Ventures Limited,7(2),Parv Jain,27-Aug-2024 15:36,1169327,,0,0,0,0,Equity Shares,8324255,515398,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169327_1232660_27082024033623_WEB.xml,Promoter Group,4437500,6.68,83242550,Equity Shares,12761755,19.22,24-Aug-2024,24-Aug-2024,26-Aug-2024,Gift,-,NA,-
MAGNUM,Magnum Ventures Limited,7(2),Parveen  Jain,27-Aug-2024 15:36,1169327,,0,0,0,0,Equity Shares,8324255,515397,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169327_1232660_27082024033623_WEB.xml,Promoters,16648510,25.07,83242550,Equity Shares,8324255,12.54,24-Aug-2024,24-Aug-2024,26-Aug-2024,Gift,-,NA,-
KANANIIND,Kanani Industries Limited,7(2),HARSHIL PREMJIBHAI KANANI,24-Aug-2024 10:54,1169179,,0,0,0,0,Equity Shares,3400000,515112,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169179_1231692_24082024105411_WEB.xml,Promoters,52294694,26.43,9905301,Equity Shares,48894694,24.71,23-Aug-2024,23-Aug-2024,24-Aug-2024,Market Sale,-,NSE,-
